Name,Donator,Author,Category,Description,Language,Rating,DonateDate,Award
Swan and Marclaren,Reggie Tupp,Julian Davison,Architecture,"Swan & Maclaren were one of the main architectural practices working in Singapore from their foundation in 1892 through to independence in 1965. As such, the history of Singapore architecture, during that period, is very much the history of Swan & Maclaren. ",EN,4.5,11/28/2016 13:30,NobelAward
Git: The Power of Passion and Perseverance,Zachary Heilyn,Angela Duckworth,Psychology,"In this instant New York Times bestseller, Angela Duckworth shows anyone striving to succeed that the secret to outstanding achievement is not talent, but a special blend of passion and persistence she calls ""grit."" ""Inspiration for non-geniuses everywhere"" (People).",EN,4.3,11/28/2016 14:45,BestSellerAward
The Ride of a Lifetime,Austin Finnagan,Robert Iger,Science,"he CEO of Disney, one of Time's most influential people of 2019, shares the ideas and values he embraced to reinvent one of the most beloved companies in the world and inspire the people who bring the magic to life. Robert Iger became CEO of The Walt Disney Company in 2005, during a difficult time.",EN,3.8,11/29/2016 13:15,NobelAward|NewYorkAward|GreatWritterAward
The Montessori Toddler,Howie Cadell,Simone Davies,Education,"It’s time to change the way we see toddlers. Using the principles developed by the educator Dr. Maria Montessori, Simone Davies shows how to turn life with a “terrible two” into a mutually rich and rewarding time of curiosity, learning, respect, and discovery.",EN,4.7,11/29/2016 10:00,NobelAward|NewYorkAward|GreatWritterAward
Zero to One: Notes on Start Ups,Sandie Gobnet,Blake Masters,Business,"The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them.",CN,4.8,11/29/2016 14:30,TeenagerGuiderAward
Nightfall: 6,Philip Ransu,Shannon Messenger,Life,A New York Times bestselling series A USA TODAY bestselling series A California Young Reader Medal-winning series Sophie and her friends face battles unlike anything they've seen before in this thrilling sixth book of the New York Times and USA TODAY bestselling Keeper of the Lost Cities series. ,EN,4,11/28/2016 10:15,EnjoyReadingAward
The Heros of Olympus Set,Krystle Valerija,Rick Riordan,Literature,"All five books in the Heroes of Olympus saga--in a paperback boxed set of heroic proportions. From The Lost Hero to the Blood of Olympus, this collection of Rick Riordan's mega-bestselling series will be a go-to gift for readers who have finished the Percy Jackson and the Olympians books.",CN,3.5,11/28/2016 16:00,CoolLiteratuerAward|LoveAndPeaceAward
Brain Quest WorkBook,Nicolette Bardeau,Lisa Trumbauer,Education,"It’s fun to be smart! Loved by kids, teacher approved, and parent trusted, Brain Quest Kindergarten Workbook reviews and reinforces what kids are learning in the classroom in an instantly engaging, entertaining way.",EN,4.5,11/28/2016 09:00,|NewYorkAward|GreatWritterAward
Autumn Baking,Nathan Cayden,Chuah Chiew See,Children,"Autumn baking - Natural Yeast is a baking book with recipes that use only natural yeast. The book cover from how to build your own natural yeast,method of hand mix and dozen of recipes from classic sourdough to sweet bread and other Asian bakes.",CN,5,11/29/2016 16:00,NobelAward
A Guest in the Jungle,Sarah Greer,James Poister,Fiction,"It is high noon in the Amazon, and Whitehill is lost. In his Brooks Brothers pants, this lawyer from the Midwest is easily the best-dressed man in the jungle. Unfortunately, he's no Indiana Jones.",CN,4.9,11/29/2016 08:30,BestSellerAward
Beyond the Shadow of Night,Maggie Rickland,Ray Kingfisher,Fiction,"Ukraine, 1923. On a small farm, two boys are born within days of each other, both Ukrainian, one Jewish. Mykhail and Asher grow up inseparable, together finding friendship, adventure and escape from the harshness of Russian rule. ",EN,4.7,12/1/16 13:00,NobelAward|NewYorkAward|GreatWritterAward
Coco Chanel,Dalania Devitto,Megan Hess,Arts,"Coco Chanel: The Illustrated World of a Fashion Icon is an illustrated biography of Coco's Chanel's life from the internationally reknown illustrator and author, Megan Hess.",EN,3.6,12/1/16 11:30,NobelAward|NewYorkAward|GreatWritterAward
The Megic Trap ,Shad Cayden,MS Jacqueline Davies,Children,"Jessie and Evan Treski have waged a lemonade war, sought justice in a class trial, unmasked a bell thief, and stood at opposite ends over the right to keep secrets.",EN,3.7,12/1/16 8:45,TeenagerGuiderAward
Magnum Streetwise,Dennis Nicholback,Stephen McLaren,Photography,"Ambitious in scope, democratic in nature, Magnum Streetwise is an unmissable tour through the photographs and practices that have helped define what street photography is and can be.",EN,4.7,12/2/16 13:30,EnjoyReadingAward
True Love,Tracy Westbay,Jennifer Lopez,Biography,"In Jennifer Lopez's first ever book, True Love, she explores one of her life's most defining periods--the transformative two-year journey of how, as an artist and a mother, she confronted her greatest challenges, identified her biggest fears, and ultimately emerged a stronger person than she's ever been. ",EN,4.8,11/29/2016 11:45,CoolLiteratuerAward|LoveAndPeaceAward
Here We Are,Madisyn Roope,Oliver Jeffers,Children,"Oliver Jeffers, arguably the most influential creator of picture books today, offers a rare personal look inside his own hopes and wishes for his child--and in doing so gifts children and parents everywhere with a gently sweet and humorous missive about our world and those who call it home.",EN,4,11/30/2016 10:15,|NewYorkAward|GreatWritterAward
Hop on Pop,Lisa Choy-Wu,Dr. Seuss,Children,"A condensed, board-book version of the classic best-seller introduces the youngest readers to the wonderful world of Seussian word play.",EN,3.5,11/30/2016 11:30,NobelAward
